"";"genotype";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131_A";1;0,01;0,1;"5e-04";"0.0199 (0.012)";"0.0282 (0.0112)";"0.0256 (0.0133)";"0.026 (0.0164)"
"2";"131_A";25;0,01;0,1;"5e-04";"0.2112 (0.0832)";"0.2583 (0.0815)";"0.345 (0.0874)";"0.4688 (0.1183)"
"3";"131_A";50;0,01;0,1;"5e-04";"0.2688 (0.0852)";"0.3853 (0.1319)";"0.5745 (0.1049)";"0.7683 (0.0842)"
"4";"131_A";75;0,01;0,1;"5e-04";"0.2926 (0.091)";"0.4916 (0.1226)";"0.7151 (0.0905)";"0.8578 (0.058)"
"5";"131_A";100;0,01;0,1;"5e-04";"0.3098 (0.0969)";"0.5617 (0.1377)";"0.7591 (0.0995)";"0.8768 (0.064)"
"6";"131_A";125;0,01;0,1;"5e-04";"0.3091 (0.1204)";"0.5883 (0.1179)";"0.7698 (0.0776)";"0.8877 (0.0507)"
"7";"131_A";150;0,01;0,1;"5e-04";"0.3108 (0.1126)";"0.6074 (0.0924)";"0.7818 (0.0821)";"0.8911 (0.0447)"
"8";"131_A";175;0,01;0,1;"5e-04";"0.3277 (0.1059)";"0.6128 (0.1019)";"0.7937 (0.0703)";"0.8953 (0.0455)"
"9";"131_A";200;0,01;0,1;"5e-04";"0.3024 (0.0946)";"0.6296 (0.1047)";"0.7896 (0.0734)";"0.8985 (0.0459)"
"10";"131_B";1;0,01;0,1;"5e-04";"3e-04 (0.0013)";"0.001 (0.0031)";"0.001 (0.0024)";"0.0014 (0.003)"
"11";"131_B";25;0,01;0,1;"5e-04";"0.0042 (0.0064)";"0.0156 (0.022)";"0.0061 (0.0089)";"0.0262 (0.0398)"
"12";"131_B";50;0,01;0,1;"5e-04";"0.0058 (0.0083)";"0.0144 (0.0179)";"0.0194 (0.0366)";"0.0903 (0.1131)"
"13";"131_B";75;0,01;0,1;"5e-04";"0.0139 (0.026)";"0.0252 (0.0342)";"0.0355 (0.053)";"0.1483 (0.1566)"
"14";"131_B";100;0,01;0,1;"5e-04";"0.0123 (0.0218)";"0.0317 (0.0496)";"0.0493 (0.0758)";"0.1663 (0.1618)"
"15";"131_B";125;0,01;0,1;"5e-04";"0.0125 (0.0182)";"0.0329 (0.0571)";"0.0732 (0.1155)";"0.1694 (0.1683)"
"16";"131_B";150;0,01;0,1;"5e-04";"0.0152 (0.0212)";"0.0342 (0.0549)";"0.0713 (0.1165)";"0.1611 (0.1787)"
"17";"131_B";175;0,01;0,1;"5e-04";"0.015 (0.0191)";"0.0306 (0.041)";"0.0768 (0.1054)";"0.1686 (0.1756)"
"18";"131_B";200;0,01;0,1;"5e-04";"0.0137 (0.0208)";"0.0246 (0.0364)";"0.0715 (0.0951)";"0.1656 (0.1735)"
"19";"131_C1";1;0,01;0,1;"5e-04";"0.0178 (0.0105)";"0.018 (0.0107)";"0.0184 (0.0093)";"0.0177 (0.0101)"
"20";"131_C1";25;0,01;0,1;"5e-04";"0.1321 (0.0771)";"0.1916 (0.0779)";"0.2732 (0.1143)";"0.3302 (0.0952)"
"21";"131_C1";50;0,01;0,1;"5e-04";"0.1616 (0.0585)";"0.2927 (0.1184)";"0.5127 (0.1243)";"0.6506 (0.0894)"
"22";"131_C1";75;0,01;0,1;"5e-04";"0.1874 (0.0638)";"0.3971 (0.1154)";"0.6555 (0.0969)";"0.7753 (0.0795)"
"23";"131_C1";100;0,01;0,1;"5e-04";"0.2025 (0.0808)";"0.4517 (0.1302)";"0.7005 (0.0894)";"0.7978 (0.071)"
"24";"131_C1";125;0,01;0,1;"5e-04";"0.217 (0.0698)";"0.4826 (0.1125)";"0.7271 (0.0826)";"0.8039 (0.0751)"
"25";"131_C1";150;0,01;0,1;"5e-04";"0.2151 (0.0828)";"0.5102 (0.1285)";"0.7264 (0.0951)";"0.8035 (0.082)"
"26";"131_C1";175;0,01;0,1;"5e-04";"0.2244 (0.0821)";"0.4999 (0.1052)";"0.7288 (0.0904)";"0.8057 (0.0941)"
"27";"131_C1";200;0,01;0,1;"5e-04";"0.2289 (0.0708)";"0.5202 (0.1091)";"0.7248 (0.0906)";"0.8094 (0.0806)"
"28";"131_C2";1;0,01;0,1;"5e-04";"0.0636 (0.0111)";"0.0665 (0.012)";"0.0683 (0.0107)";"0.065 (0.0095)"
"29";"131_C2";25;0,01;0,1;"5e-04";"0.301 (0.0878)";"0.3946 (0.0623)";"0.5153 (0.0758)";"0.623 (0.0722)"
"30";"131_C2";50;0,01;0,1;"5e-04";"0.4807 (0.103)";"0.6155 (0.0808)";"0.8129 (0.0648)";"0.9156 (0.0296)"
"31";"131_C2";75;0,01;0,1;"5e-04";"0.5845 (0.1149)";"0.7653 (0.0875)";"0.9026 (0.0384)";"0.9676 (0.013)"
"32";"131_C2";100;0,01;0,1;"5e-04";"0.6274 (0.1008)";"0.8215 (0.0717)";"0.9403 (0.0202)";"0.9765 (0.0125)"
"33";"131_C2";125;0,01;0,1;"5e-04";"0.6518 (0.0989)";"0.8629 (0.0584)";"0.9561 (0.0128)";"0.9804 (0.0088)"
"34";"131_C2";150;0,01;0,1;"5e-04";"0.6905 (0.0833)";"0.8888 (0.0421)";"0.9592 (0.0152)";"0.9808 (0.0081)"
"35";"131_C2";175;0,01;0,1;"5e-04";"0.728 (0.0819)";"0.9 (0.0393)";"0.9584 (0.0183)";"0.9805 (0.0095)"
"36";"131_C2";200;0,01;0,1;"5e-04";"0.74 (0.0866)";"0.9056 (0.0323)";"0.957 (0.0185)";"0.9814 (0.0082)"
