"";"ST131_sum";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131";1;0,01;0,01;"5e-04";"0.0288 (0.0259)";"0.0293 (0.0263)";"0.0273 (0.026)";"0.0274 (0.0261)"
"2";"131";25;0,01;0,01;"5e-04";"0.2003 (0.1787)";"0.257 (0.2171)";"0.3065 (0.2453)";"0.3843 (0.2779)"
"3";"131";50;0,01;0,01;"5e-04";"0.253 (0.2267)";"0.3638 (0.2764)";"0.4989 (0.3137)";"0.6336 (0.3385)"
"4";"131";75;0,01;0,01;"5e-04";"0.2859 (0.2461)";"0.4375 (0.3024)";"0.6262 (0.3371)";"0.735 (0.35)"
"5";"131";100;0,01;0,01;"5e-04";"0.3008 (0.2525)";"0.4984 (0.3197)";"0.6894 (0.3489)";"0.7618 (0.3447)"
"6";"131";125;0,01;0,01;"5e-04";"0.3072 (0.2636)";"0.5485 (0.3261)";"0.7157 (0.3479)";"0.7692 (0.3402)"
"7";"131";150;0,01;0,01;"5e-04";"0.3169 (0.2678)";"0.5893 (0.3311)";"0.7309 (0.3455)";"0.7685 (0.3462)"
"8";"131";175;0,01;0,01;"5e-04";"0.3214 (0.2704)";"0.6166 (0.3379)";"0.7305 (0.355)";"0.7773 (0.3331)"
"9";"131";200;0,01;0,01;"5e-04";"0.3316 (0.2755)";"0.6391 (0.3433)";"0.7354 (0.3518)";"0.7685 (0.3436)"
"10";"69";1;0,01;0,01;"5e-04";"9e-04 (0.0014)";"8e-04 (0.0011)";"4e-04 (8e-04)";"0.0011 (0.0021)"
"11";"69";25;0,01;0,01;"5e-04";"0.0077 (0.0093)";"0.0087 (0.0076)";"0.0147 (0.0141)";"0.0215 (0.0269)"
"12";"69";50;0,01;0,01;"5e-04";"0.0112 (0.0115)";"0.0157 (0.0166)";"0.042 (0.0424)";"0.0838 (0.0961)"
"13";"69";75;0,01;0,01;"5e-04";"0.0121 (0.0136)";"0.0276 (0.0258)";"0.1026 (0.0955)";"0.1691 (0.166)"
"14";"69";100;0,01;0,01;"5e-04";"0.0142 (0.0166)";"0.0401 (0.0346)";"0.1754 (0.1422)";"0.2374 (0.1925)"
"15";"69";125;0,01;0,01;"5e-04";"0.0145 (0.0157)";"0.0613 (0.0565)";"0.2072 (0.1618)";"0.2582 (0.2048)"
"16";"69";150;0,01;0,01;"5e-04";"0.0159 (0.0181)";"0.0766 (0.0716)";"0.2155 (0.1529)";"0.2615 (0.2194)"
"17";"69";175;0,01;0,01;"5e-04";"0.0176 (0.0215)";"0.0903 (0.078)";"0.2177 (0.1723)";"0.2855 (0.2303)"
"18";"69";200;0,01;0,01;"5e-04";"0.0226 (0.0247)";"0.1018 (0.0833)";"0.2242 (0.1707)";"0.287 (0.2172)"
"19";"73";1;0,01;0,01;"5e-04";"0.001 (4e-04)";"8e-04 (3e-04)";"9e-04 (3e-04)";"0.001 (4e-04)"
"20";"73";25;0,01;0,01;"5e-04";"0.0026 (0.0015)";"0.0034 (0.0025)";"0.0067 (0.0036)";"0.0137 (0.0086)"
"21";"73";50;0,01;0,01;"5e-04";"0.0044 (0.0033)";"0.0089 (0.0066)";"0.0315 (0.0163)";"0.0986 (0.0598)"
"22";"73";75;0,01;0,01;"5e-04";"0.0068 (0.0044)";"0.0181 (0.0123)";"0.0946 (0.0445)";"0.3002 (0.14)"
"23";"73";100;0,01;0,01;"5e-04";"0.0079 (0.0051)";"0.0287 (0.0184)";"0.1932 (0.0772)";"0.4157 (0.1727)"
"24";"73";125;0,01;0,01;"5e-04";"0.0095 (0.0067)";"0.0444 (0.0261)";"0.2792 (0.1023)";"0.4466 (0.1815)"
"25";"73";150;0,01;0,01;"5e-04";"0.0097 (0.0069)";"0.0599 (0.0341)";"0.3184 (0.1164)";"0.444 (0.1877)"
"26";"73";175;0,01;0,01;"5e-04";"0.0106 (0.007)";"0.0814 (0.0484)";"0.3349 (0.1255)";"0.4526 (0.1904)"
"27";"73";200;0,01;0,01;"5e-04";"0.0123 (0.0083)";"0.0994 (0.0562)";"0.3519 (0.1227)";"0.4544 (0.1872)"
"28";"95";1;0,01;0,01;"5e-04";"8e-04 (5e-04)";"0.001 (8e-04)";"9e-04 (7e-04)";"9e-04 (5e-04)"
"29";"95";25;0,01;0,01;"5e-04";"0.0022 (0.0025)";"0.0035 (0.0033)";"0.0069 (0.0074)";"0.0132 (0.0109)"
"30";"95";50;0,01;0,01;"5e-04";"0.0046 (0.0062)";"0.0074 (0.0066)";"0.0364 (0.0422)";"0.0814 (0.071)"
"31";"95";75;0,01;0,01;"5e-04";"0.0062 (0.0115)";"0.015 (0.0143)";"0.1034 (0.1116)";"0.252 (0.1764)"
"32";"95";100;0,01;0,01;"5e-04";"0.0088 (0.0131)";"0.0281 (0.0283)";"0.196 (0.1838)";"0.3474 (0.2167)"
"33";"95";125;0,01;0,01;"5e-04";"0.0109 (0.0136)";"0.0375 (0.0368)";"0.259 (0.2251)";"0.3651 (0.2187)"
"34";"95";150;0,01;0,01;"5e-04";"0.0135 (0.0145)";"0.0583 (0.0519)";"0.2866 (0.2356)";"0.3669 (0.2205)"
"35";"95";175;0,01;0,01;"5e-04";"0.0129 (0.0125)";"0.0713 (0.0627)";"0.3037 (0.2414)";"0.3567 (0.235)"
"36";"95";200;0,01;0,01;"5e-04";"0.016 (0.0144)";"0.0746 (0.0745)";"0.3007 (0.2341)";"0.3461 (0.2399)"
