genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131;1;0.0052 (0.0032);0.0052 (0.0032);0.0052 (0.0032);0.0052 (0.0032)
131;25;0.0133 (0.0093);0.0143 (0.0108);0.0169 (0.0141);0.0213 (0.0195)
131;50;0.0202 (0.0144);0.0257 (0.0221);0.04 (0.0422);0.0645 (0.0737)
131;75;0.0263 (0.019);0.0379 (0.0369);0.0665 (0.0788);0.0958 (0.1135)
131;100;0.0304 (0.0225);0.0496 (0.0513);0.0851 (0.103);0.1042 (0.1244)
131;125;0.0339 (0.0256);0.0582 (0.062);0.0943 (0.1158);0.1068 (0.1275)
131;150;0.0369 (0.0274);0.0655 (0.0713);0.0982 (0.1208);0.1084 (0.1305)
131;175;0.0386 (0.0294);0.0693 (0.0759);0.1003 (0.1221);0.1084 (0.1299)
131;200;0.0405 (0.0306);0.0717 (0.0789);0.1011 (0.1229);0.1087 (0.1291)
69;1;0.0126 (0);0.0126 (0);0.0126 (0);0.0126 (0)
69;25;0.0309 (0.0026);0.0312 (0.0031);0.0304 (0.003);0.0294 (0.0024)
69;50;0.0472 (0.0048);0.0464 (0.0045);0.0394 (0.0042);0.0307 (0.0019)
69;75;0.0584 (0.0066);0.0545 (0.005);0.0412 (0.0046);0.0258 (0.0032)
69;100;0.0692 (0.0081);0.0595 (0.0062);0.0406 (0.0054);0.0244 (0.0038)
69;125;0.0746 (0.0066);0.0624 (0.0061);0.0387 (0.0054);0.0235 (0.0048)
69;150;0.0808 (0.008);0.064 (0.0055);0.0383 (0.0066);0.0241 (0.0046)
69;175;0.0842 (0.0077);0.0647 (0.0051);0.0378 (0.007);0.0244 (0.0056)
69;200;0.0864 (0.0082);0.065 (0.0047);0.0383 (0.0071);0.0248 (0.0054)
73;1;0.2622 (0);0.2622 (0);0.2622 (0);0.2622 (0)
73;25;0.2478 (0.0091);0.2454 (0.0061);0.2409 (0.0067);0.2284 (0.0084)
73;50;0.2348 (0.0112);0.2236 (0.0127);0.197 (0.0091);0.1446 (0.0102)
73;75;0.2268 (0.0135);0.2027 (0.0134);0.1464 (0.0135);0.0843 (0.0117)
73;100;0.2197 (0.0132);0.1865 (0.015);0.1131 (0.0149);0.0655 (0.0125)
73;125;0.2124 (0.0134);0.1715 (0.0111);0.0969 (0.0139);0.0614 (0.013)
73;150;0.207 (0.0133);0.1625 (0.012);0.0902 (0.0145);0.0592 (0.0146)
73;175;0.2053 (0.0113);0.1555 (0.0114);0.0845 (0.0134);0.0603 (0.0151)
73;200;0.2009 (0.0121);0.1509 (0.0105);0.0838 (0.0125);0.062 (0.0163)
95;1;0.1124 (0);0.1124 (0);0.1124 (0);0.1124 (0)
95;25;0.1052 (0.0066);0.1068 (0.0057);0.1025 (0.0063);0.0987 (0.0066)
95;50;0.0998 (0.0062);0.0962 (0.0071);0.0833 (0.0069);0.0622 (0.0088)
95;75;0.0952 (0.0072);0.0863 (0.0087);0.0634 (0.0063);0.0379 (0.0111)
95;100;0.0923 (0.009);0.0774 (0.0078);0.0488 (0.0062);0.029 (0.011)
95;125;0.0913 (0.0086);0.0724 (0.0068);0.0423 (0.0054);0.0278 (0.0122)
95;150;0.0886 (0.0091);0.0667 (0.008);0.0388 (0.0047);0.0276 (0.0126)
95;175;0.086 (0.0095);0.0652 (0.0095);0.0377 (0.0052);0.0281 (0.0132)
95;200;0.0846 (0.0086);0.063 (0.0093);0.0378 (0.0052);0.028 (0.0158)
