"";"genotype";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131_A";1;0,01;0,05;"5e-04";"0.0028 (0)";"0.0028 (0)";"0.0028 (0)";"0.0028 (0)"
"2";"131_A";25;0,01;0,05;"5e-04";"0.0072 (0.0015)";"0.0075 (0.0015)";"0.0088 (0.0017)";"0.0108 (0.003)"
"3";"131_A";50;0,01;0,05;"5e-04";"0.0115 (0.0022)";"0.013 (0.003)";"0.0193 (0.0058)";"0.033 (0.0114)"
"4";"131_A";75;0,01;0,05;"5e-04";"0.0149 (0.0023)";"0.0188 (0.0049)";"0.0368 (0.0122)";"0.0565 (0.0187)"
"5";"131_A";100;0,01;0,05;"5e-04";"0.0173 (0.0033)";"0.0255 (0.0077)";"0.0508 (0.018)";"0.0644 (0.0215)"
"6";"131_A";125;0,01;0,05;"5e-04";"0.0195 (0.0016)";"0.0325 (0.0096)";"0.0587 (0.0213)";"0.0705 (0.0231)"
"7";"131_A";150;0,01;0,05;"5e-04";"0.0221 (0.0041)";"0.037 (0.0109)";"0.0611 (0.022)";"0.0729 (0.0273)"
"8";"131_A";175;0,01;0,05;"5e-04";"0.0236 (0.0035)";"0.0425 (0.0149)";"0.0629 (0.0229)";"0.0732 (0.0286)"
"9";"131_A";200;0,01;0,05;"5e-04";"0.0252 (0.0043)";"0.0447 (0.0157)";"0.0655 (0.0232)";"0.0746 (0.0289)"
"10";"131_B";1;0,01;0,05;"5e-04";"0.0031 (0)";"0.0031 (0)";"0.0031 (0)";"0.0031 (0)"
"11";"131_B";25;0,01;0,05;"5e-04";"0.0079 (0.0012)";"0.008 (0.0016)";"0.0083 (0.0014)";"0.0084 (0.0018)"
"12";"131_B";50;0,01;0,05;"5e-04";"0.0113 (0.0016)";"0.0121 (0.0021)";"0.0121 (0.0019)";"0.0092 (0.0025)"
"13";"131_B";75;0,01;0,05;"5e-04";"0.0144 (0.0024)";"0.0149 (0.0024)";"0.0133 (0.0038)";"0.0092 (0.0046)"
"14";"131_B";100;0,01;0,05;"5e-04";"0.0183 (0.0031)";"0.0166 (0.0029)";"0.0133 (0.0049)";"0.0089 (0.0052)"
"15";"131_B";125;0,01;0,05;"5e-04";"0.0202 (0.0036)";"0.0175 (0.0044)";"0.0122 (0.0054)";"0.0088 (0.0066)"
"16";"131_B";150;0,01;0,05;"5e-04";"0.0206 (0.0041)";"0.018 (0.0047)";"0.0129 (0.0056)";"0.0088 (0.0074)"
"17";"131_B";175;0,01;0,05;"5e-04";"0.0206 (0.0035)";"0.018 (0.0048)";"0.0126 (0.0058)";"0.0088 (0.007)"
"18";"131_B";200;0,01;0,05;"5e-04";"0.0211 (0.0036)";"0.018 (0.0039)";"0.0124 (0.0057)";"0.0083 (0.0055)"
"19";"131_C1";1;0,01;0,05;"5e-04";"0.0034 (0)";"0.0034 (0)";"0.0034 (0)";"0.0034 (0)"
"20";"131_C1";25;0,01;0,05;"5e-04";"0.0091 (0.0017)";"0.0099 (0.0014)";"0.012 (0.0033)";"0.0152 (0.0024)"
"21";"131_C1";50;0,01;0,05;"5e-04";"0.0135 (0.0019)";"0.018 (0.0031)";"0.0314 (0.0071)";"0.0555 (0.0125)"
"22";"131_C1";75;0,01;0,05;"5e-04";"0.0166 (0.0025)";"0.0282 (0.0051)";"0.062 (0.0132)";"0.099 (0.0222)"
"23";"131_C1";100;0,01;0,05;"5e-04";"0.021 (0.0033)";"0.0392 (0.0073)";"0.0887 (0.0159)";"0.1155 (0.0274)"
"24";"131_C1";125;0,01;0,05;"5e-04";"0.0233 (0.0045)";"0.0497 (0.0087)";"0.1054 (0.0201)";"0.1191 (0.0314)"
"25";"131_C1";150;0,01;0,05;"5e-04";"0.0265 (0.0058)";"0.0576 (0.0118)";"0.1139 (0.0241)";"0.1196 (0.0301)"
"26";"131_C1";175;0,01;0,05;"5e-04";"0.0292 (0.006)";"0.0642 (0.0127)";"0.1176 (0.0244)";"0.1182 (0.0287)"
"27";"131_C1";200;0,01;0,05;"5e-04";"0.0312 (0.0049)";"0.0697 (0.0139)";"0.1188 (0.0264)";"0.1217 (0.0297)"
"28";"131_C2";1;0,01;0,05;"5e-04";"0.0024 (0)";"0.0024 (0)";"0.0024 (0)";"0.0024 (0)"
"29";"131_C2";25;0,01;0,05;"5e-04";"0.0064 (0.0015)";"0.0069 (0.0013)";"0.0097 (0.0023)";"0.0127 (0.0031)"
"30";"131_C2";50;0,01;0,05;"5e-04";"0.0096 (0.0026)";"0.0137 (0.0027)";"0.0282 (0.0069)";"0.0464 (0.0152)"
"31";"131_C2";75;0,01;0,05;"5e-04";"0.0131 (0.0033)";"0.0232 (0.0054)";"0.0592 (0.0146)";"0.0825 (0.02)"
"32";"131_C2";100;0,01;0,05;"5e-04";"0.0157 (0.0041)";"0.0351 (0.0089)";"0.0846 (0.0228)";"0.0985 (0.0235)"
"33";"131_C2";125;0,01;0,05;"5e-04";"0.0179 (0.0047)";"0.0459 (0.0122)";"0.098 (0.027)";"0.1023 (0.0249)"
"34";"131_C2";150;0,01;0,05;"5e-04";"0.0195 (0.0039)";"0.0531 (0.0125)";"0.106 (0.0289)";"0.1032 (0.0253)"
"35";"131_C2";175;0,01;0,05;"5e-04";"0.0197 (0.0046)";"0.0589 (0.0142)";"0.1111 (0.0309)";"0.1021 (0.0233)"
"36";"131_C2";200;0,01;0,05;"5e-04";"0.0203 (0.0044)";"0.0647 (0.014)";"0.1154 (0.0325)";"0.1038 (0.0248)"
