genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131_A;1;0.0277 (0.0125);0.0298 (0.0145);0.0248 (0.0125);0.0275 (0.0151)
131_A;25;0.1864 (0.0708);0.2686 (0.1213);0.3327 (0.1019);0.4135 (0.1191)
131_A;50;0.2388 (0.1049);0.4137 (0.1485);0.5974 (0.116);0.7747 (0.0939)
131_A;75;0.276 (0.0968);0.5273 (0.1283);0.7868 (0.088);0.9103 (0.0419)
131_A;100;0.283 (0.0981);0.6161 (0.1281);0.8688 (0.0601);0.9391 (0.0354)
131_A;125;0.2831 (0.1014);0.6714 (0.1053);0.8914 (0.0549);0.9424 (0.0333)
131_A;150;0.296 (0.0957);0.7257 (0.1046);0.9112 (0.0396);0.9482 (0.0388)
131_A;175;0.3057 (0.0966);0.7711 (0.0931);0.9144 (0.0499);0.9465 (0.0253)
131_A;200;0.328 (0.1099);0.8027 (0.0802);0.9162 (0.0445);0.9456 (0.029)
131_B;1;8e-04 (0.0021);8e-04 (0.0021);0.0014 (0.0027);0.001 (0.003)
131_B;25;0.0055 (0.01);0.0101 (0.0178);0.0142 (0.0293);0.031 (0.0414)
131_B;50;0.0067 (0.0115);0.0202 (0.0441);0.0445 (0.0793);0.1002 (0.1547)
131_B;75;0.0103 (0.0194);0.0261 (0.0532);0.0977 (0.1471);0.1808 (0.2568)
131_B;100;0.0185 (0.0337);0.0409 (0.0647);0.125 (0.1859);0.2224 (0.2769)
131_B;125;0.0165 (0.0225);0.0533 (0.0947);0.1571 (0.2191);0.2391 (0.2833)
131_B;150;0.014 (0.0209);0.0721 (0.1193);0.1761 (0.2257);0.2259 (0.279)
131_B;175;0.016 (0.0329);0.081 (0.1359);0.158 (0.2265);0.2623 (0.2881)
131_B;200;0.0166 (0.0368);0.0889 (0.1505);0.1713 (0.2375);0.2308 (0.2778)
131_C1;1;0.0203 (0.0094);0.0187 (0.0094);0.0152 (0.0097);0.0154 (0.009)
131_C1;25;0.1355 (0.0531);0.1783 (0.06);0.2186 (0.0828);0.3214 (0.1028)
131_C1;50;0.1703 (0.0718);0.2781 (0.0753);0.4761 (0.1048);0.7024 (0.0947)
131_C1;75;0.2 (0.0755);0.3675 (0.0882);0.6701 (0.1012);0.8626 (0.0543)
131_C1;100;0.2194 (0.0833);0.4529 (0.1094);0.7889 (0.0629);0.8948 (0.0596)
131_C1;125;0.2184 (0.0819);0.5546 (0.0924);0.8321 (0.0559);0.9039 (0.0424)
131_C1;150;0.2314 (0.0843);0.6272 (0.0756);0.8515 (0.0591);0.9079 (0.0502)
131_C1;175;0.2318 (0.0944);0.6691 (0.0748);0.863 (0.0559);0.9097 (0.05)
131_C1;200;0.2369 (0.0907);0.7116 (0.0804);0.868 (0.0563);0.9059 (0.061)
131_C2;1;0.0658 (0.013);0.066 (0.0128);0.066 (0.0111);0.0638 (0.0142)
131_C2;25;0.4738 (0.0461);0.5711 (0.0571);0.6605 (0.0449);0.7712 (0.0347)
131_C2;50;0.5964 (0.0544);0.7432 (0.0531);0.8776 (0.0239);0.9572 (0.0094)
131_C2;75;0.6573 (0.0664);0.829 (0.0368);0.9502 (0.0143);0.9864 (0.0031)
131_C2;100;0.6822 (0.0646);0.8838 (0.0234);0.9748 (0.006);0.9908 (0.0019)
131_C2;125;0.7108 (0.0589);0.9144 (0.0167);0.9824 (0.0043);0.9912 (0.0019)
131_C2;150;0.7262 (0.043);0.9321 (0.0125);0.9848 (0.0043);0.9919 (0.0016)
131_C2;175;0.7322 (0.0398);0.9452 (0.0106);0.9866 (0.0038);0.9906 (0.0018)
131_C2;200;0.7447 (0.0417);0.9531 (0.0085);0.9862 (0.0034);0.9915 (0.0016)
