"";"ST131_sum";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131";1;0,01;0,1;"5e-04";"0.0337 (0.0281)";"0.0319 (0.0263)";"0.0362 (0.0279)";"0.0298 (0.0236)"
"2";"131";25;0,01;0,1;"5e-04";"0.2605 (0.2039)";"0.3035 (0.2065)";"0.3734 (0.2507)";"0.4614 (0.2912)"
"3";"131";50;0,01;0,1;"5e-04";"0.3014 (0.2267)";"0.4175 (0.2675)";"0.5616 (0.3292)";"0.6633 (0.3642)"
"4";"131";75;0,01;0,1;"5e-04";"0.3305 (0.2338)";"0.4914 (0.3011)";"0.6426 (0.3566)";"0.7135 (0.377)"
"5";"131";100;0,01;0,1;"5e-04";"0.3481 (0.2497)";"0.5295 (0.3126)";"0.668 (0.3668)";"0.7303 (0.3773)"
"6";"131";125;0,01;0,1;"5e-04";"0.3521 (0.246)";"0.5611 (0.3275)";"0.6815 (0.3676)";"0.7287 (0.3773)"
"7";"131";150;0,01;0,1;"5e-04";"0.3539 (0.2489)";"0.5738 (0.3293)";"0.6825 (0.3641)";"0.7325 (0.375)"
"8";"131";175;0,01;0,1;"5e-04";"0.3687 (0.2568)";"0.5808 (0.3307)";"0.6858 (0.3657)";"0.7354 (0.3741)"
"9";"131";200;0,01;0,1;"5e-04";"0.3732 (0.2574)";"0.5813 (0.3276)";"0.6851 (0.3656)";"0.7361 (0.371)"
"10";"69";1;0,01;0,1;"5e-04";"3e-04 (8e-04)";"6e-04 (9e-04)";"7e-04 (8e-04)";"9e-04 (0.0013)"
"11";"69";25;0,01;0,1;"5e-04";"0.0087 (0.007)";"0.0104 (0.0107)";"0.0154 (0.0117)";"0.0281 (0.0245)"
"12";"69";50;0,01;0,1;"5e-04";"0.0087 (0.0098)";"0.0223 (0.0213)";"0.0441 (0.0414)";"0.0951 (0.0767)"
"13";"69";75;0,01;0,1;"5e-04";"0.0137 (0.0111)";"0.0312 (0.0301)";"0.0749 (0.0532)";"0.1634 (0.12)"
"14";"69";100;0,01;0,1;"5e-04";"0.0108 (0.0116)";"0.0403 (0.0379)";"0.0971 (0.0615)";"0.1901 (0.1295)"
"15";"69";125;0,01;0,1;"5e-04";"0.0121 (0.0156)";"0.0457 (0.0427)";"0.119 (0.0749)";"0.2049 (0.1414)"
"16";"69";150;0,01;0,1;"5e-04";"0.0133 (0.0175)";"0.0463 (0.044)";"0.1267 (0.0864)";"0.2002 (0.1389)"
"17";"69";175;0,01;0,1;"5e-04";"0.0127 (0.0153)";"0.0484 (0.047)";"0.13 (0.1021)";"0.2111 (0.139)"
"18";"69";200;0,01;0,1;"5e-04";"0.0118 (0.0131)";"0.0511 (0.0443)";"0.1444 (0.1071)";"0.2147 (0.1409)"
"19";"73";1;0,01;0,1;"5e-04";"0.001 (3e-04)";"0.001 (5e-04)";"0.0011 (8e-04)";"8e-04 (4e-04)"
"20";"73";25;0,01;0,1;"5e-04";"0.004 (0.0029)";"0.0038 (0.0034)";"0.0079 (0.0056)";"0.0128 (0.0078)"
"21";"73";50;0,01;0,1;"5e-04";"0.0064 (0.0042)";"0.0098 (0.0091)";"0.0301 (0.0246)";"0.0752 (0.0466)"
"22";"73";75;0,01;0,1;"5e-04";"0.0082 (0.0066)";"0.0179 (0.0146)";"0.0744 (0.0595)";"0.1708 (0.0968)"
"23";"73";100;0,01;0,1;"5e-04";"0.0083 (0.0066)";"0.0274 (0.0209)";"0.1052 (0.0865)";"0.2326 (0.1268)"
"24";"73";125;0,01;0,1;"5e-04";"0.011 (0.0094)";"0.0317 (0.0238)";"0.1284 (0.1053)";"0.2583 (0.1244)"
"25";"73";150;0,01;0,1;"5e-04";"0.0105 (0.0081)";"0.0362 (0.028)";"0.1383 (0.1063)";"0.2715 (0.1285)"
"26";"73";175;0,01;0,1;"5e-04";"0.0105 (0.0103)";"0.0351 (0.0273)";"0.1454 (0.1065)";"0.2746 (0.1373)"
"27";"73";200;0,01;0,1;"5e-04";"0.011 (0.0102)";"0.0396 (0.0285)";"0.1542 (0.1052)";"0.2838 (0.1484)"
"28";"95";1;0,01;0,1;"5e-04";"0.001 (6e-04)";"0.0013 (7e-04)";"0.0012 (6e-04)";"9e-04 (5e-04)"
"29";"95";25;0,01;0,1;"5e-04";"0.0045 (0.0048)";"0.0048 (0.0044)";"0.0116 (0.0104)";"0.013 (0.0121)"
"30";"95";50;0,01;0,1;"5e-04";"0.0074 (0.0077)";"0.0087 (0.0116)";"0.0416 (0.0308)";"0.0758 (0.0672)"
"31";"95";75;0,01;0,1;"5e-04";"0.0102 (0.008)";"0.019 (0.0228)";"0.0971 (0.0754)";"0.1591 (0.1354)"
"32";"95";100;0,01;0,1;"5e-04";"0.011 (0.0109)";"0.0313 (0.0313)";"0.1431 (0.1071)";"0.2032 (0.1527)"
"33";"95";125;0,01;0,1;"5e-04";"0.0138 (0.0138)";"0.0396 (0.0361)";"0.1826 (0.1271)";"0.2261 (0.1599)"
"34";"95";150;0,01;0,1;"5e-04";"0.0173 (0.015)";"0.0488 (0.0451)";"0.1878 (0.1247)";"0.2422 (0.1635)"
"35";"95";175;0,01;0,1;"5e-04";"0.0181 (0.0162)";"0.0537 (0.0498)";"0.2009 (0.1333)";"0.2516 (0.1718)"
"36";"95";200;0,01;0,1;"5e-04";"0.0193 (0.0189)";"0.0561 (0.0569)";"0.1901 (0.1254)";"0.2499 (0.1644)"
