genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131;1;0.0052 (0.0032);0.0052 (0.0032);0.0053 (0.0032);0.0054 (0.0032)
131;25;0.0096 (0.0029);0.0103 (0.0035);0.0115 (0.0046);0.0135 (0.0065)
131;50;0.0133 (0.0032);0.0161 (0.0046);0.0227 (0.0123);0.037 (0.0259)
131;75;0.0166 (0.0037);0.0223 (0.0075);0.0373 (0.0245);0.0575 (0.0456)
131;100;0.0189 (0.0039);0.0288 (0.0116);0.049 (0.0355);0.0649 (0.0527)
131;125;0.0215 (0.0048);0.0343 (0.0157);0.0559 (0.042);0.0669 (0.0525)
131;150;0.0231 (0.0047);0.0381 (0.019);0.0588 (0.0452);0.0669 (0.0514)
131;175;0.0243 (0.0052);0.0412 (0.0213);0.0598 (0.0454);0.0672 (0.0519)
131;200;0.0251 (0.0055);0.0431 (0.0224);0.0606 (0.0455);0.0675 (0.0522)
69;1;0.0126 (0);0.0126 (0);0.0126 (0);0.0126 (0)
69;25;0.0338 (0.0038);0.032 (0.0034);0.0331 (0.0033);0.0317 (0.0039)
69;50;0.0496 (0.0055);0.0479 (0.0042);0.0453 (0.0049);0.0371 (0.005)
69;75;0.0607 (0.0079);0.0591 (0.0062);0.0486 (0.0055);0.0328 (0.0075)
69;100;0.0715 (0.0081);0.0668 (0.0076);0.0487 (0.0069);0.0299 (0.0091)
69;125;0.0793 (0.0081);0.0691 (0.0072);0.0453 (0.0064);0.0288 (0.01)
69;150;0.0847 (0.0076);0.0704 (0.0073);0.0449 (0.0076);0.0285 (0.0092)
69;175;0.0892 (0.0085);0.0723 (0.0073);0.0448 (0.0074);0.0288 (0.0096)
69;200;0.0943 (0.0087);0.0729 (0.0079);0.0456 (0.0084);0.0293 (0.0098)
73;1;0.2622 (0);0.2622 (0);0.2622 (0);0.2622 (0)
73;25;0.2513 (0.0094);0.2474 (0.0093);0.244 (0.0096);0.2371 (0.0084)
73;50;0.2414 (0.0139);0.2339 (0.011);0.2109 (0.0108);0.1661 (0.0122)
73;75;0.2341 (0.0141);0.2186 (0.0099);0.1676 (0.0092);0.1041 (0.014)
73;100;0.2265 (0.015);0.2016 (0.0114);0.1318 (0.0121);0.081 (0.0157)
73;125;0.2203 (0.0133);0.1867 (0.012);0.1129 (0.0126);0.0764 (0.0152)
73;150;0.2192 (0.0117);0.1751 (0.0106);0.1029 (0.0143);0.0783 (0.0137)
73;175;0.2158 (0.0121);0.1659 (0.0083);0.0999 (0.0145);0.0791 (0.0138)
73;200;0.2168 (0.0104);0.1642 (0.0104);0.0986 (0.0139);0.0802 (0.0161)
95;1;0.1124 (0);0.1124 (0);0.1124 (0);0.1124 (0)
95;25;0.1074 (0.0053);0.1061 (0.0055);0.1044 (0.0057);0.1016 (0.0067)
95;50;0.1032 (0.0084);0.0995 (0.0076);0.0895 (0.0071);0.0693 (0.0066)
95;75;0.1026 (0.0084);0.0908 (0.0083);0.0717 (0.0065);0.0436 (0.0113)
95;100;0.0989 (0.0091);0.0847 (0.0082);0.0582 (0.0095);0.0344 (0.0123)
95;125;0.0977 (0.0086);0.078 (0.0096);0.0496 (0.0111);0.0315 (0.012)
95;150;0.096 (0.0082);0.0733 (0.0097);0.0455 (0.01);0.0327 (0.013)
95;175;0.0943 (0.008);0.0713 (0.0093);0.0443 (0.0108);0.0332 (0.0135)
95;200;0.0918 (0.0089);0.0683 (0.0092);0.0436 (0.0103);0.0332 (0.0159)
