genotype;generation;DDD_0.006;DDD_0.03;DDD_0.06;DDD_0.09
131_A;1;0.0201 (0.0141);0.0227 (0.0109);0.0307 (0.0133);0.0277 (0.0161)
131_A;25;0.1927 (0.0738);0.3016 (0.1062);0.3421 (0.1031);0.4545 (0.1366)
131_A;50;0.2358 (0.1153);0.41 (0.1039);0.6116 (0.1125);0.7824 (0.0827)
131_A;75;0.2795 (0.1202);0.4977 (0.1245);0.7593 (0.0737);0.8793 (0.0355)
131_A;100;0.299 (0.1249);0.5583 (0.1147);0.802 (0.0703);0.9004 (0.0301)
131_A;125;0.2973 (0.1181);0.6235 (0.1072);0.8272 (0.0547);0.8965 (0.0335)
131_A;150;0.2924 (0.1111);0.6391 (0.1162);0.8228 (0.0605);0.9004 (0.0375)
131_A;175;0.3032 (0.1061);0.6503 (0.1127);0.8205 (0.0742);0.9089 (0.0372)
131_A;200;0.3063 (0.1016);0.6582 (0.0855);0.8197 (0.0806);0.9094 (0.0359)
131_B;1;0.0015 (0.0034);2e-04 (0.0012);0.0022 (0.0047);0.0014 (0.0027)
131_B;25;0.0051 (0.0087);0.0099 (0.0162);0.0145 (0.0259);0.0211 (0.035)
131_B;50;0.0071 (0.0105);0.0185 (0.0292);0.0311 (0.0563);0.0558 (0.1102)
131_B;75;0.0118 (0.0159);0.0251 (0.0488);0.0438 (0.0555);0.0786 (0.1423)
131_B;100;0.004 (0.0057);0.0369 (0.0624);0.0495 (0.0761);0.1023 (0.1873)
131_B;125;0.0102 (0.0199);0.0307 (0.0645);0.0598 (0.086);0.0965 (0.166)
131_B;150;0.0113 (0.0181);0.04 (0.0811);0.0681 (0.0907);0.1101 (0.1938)
131_B;175;0.0145 (0.0264);0.0437 (0.0795);0.0716 (0.1061);0.1136 (0.1915)
131_B;200;0.0175 (0.0415);0.0446 (0.0803);0.0708 (0.1002);0.1186 (0.1865)
131_C1;1;0.0433 (0.0143);0.0449 (0.018);0.0496 (0.02);0.0392 (0.0166)
131_C1;25;0.3425 (0.0976);0.3821 (0.087);0.4792 (0.0928);0.6159 (0.087)
131_C1;50;0.4235 (0.1071);0.5405 (0.096);0.7433 (0.0765);0.8787 (0.0523)
131_C1;75;0.4569 (0.1114);0.6603 (0.0885);0.8469 (0.0534);0.9299 (0.0333)
131_C1;100;0.469 (0.1093);0.7097 (0.0827);0.8807 (0.038);0.9453 (0.0301)
131_C1;125;0.4903 (0.0935);0.7434 (0.0767);0.8955 (0.0405);0.9467 (0.021)
131_C1;150;0.4974 (0.105);0.7692 (0.0707);0.8927 (0.0335);0.9468 (0.0206)
131_C1;175;0.5063 (0.096);0.7744 (0.068);0.9029 (0.027);0.9489 (0.02)
131_C1;200;0.5131 (0.1072);0.7737 (0.0635);0.9034 (0.0266);0.946 (0.0175)
131_C2;1;0.0654 (0.0216);0.0587 (0.0188);0.0626 (0.0213);0.0511 (0.0184)
131_C2;25;0.5018 (0.1263);0.5203 (0.1081);0.6579 (0.0884);0.754 (0.0804)
131_C2;50;0.5391 (0.1342);0.7009 (0.0955);0.8605 (0.0401);0.9364 (0.0285)
131_C2;75;0.5738 (0.1073);0.7825 (0.0638);0.9206 (0.0225);0.966 (0.0199)
131_C2;100;0.6205 (0.1055);0.8132 (0.0904);0.9398 (0.0243);0.9732 (0.014)
131_C2;125;0.6106 (0.1097);0.8469 (0.0675);0.9433 (0.0275);0.9754 (0.01)
131_C2;150;0.6144 (0.1156);0.847 (0.062);0.9466 (0.0256);0.9729 (0.0139)
131_C2;175;0.6508 (0.1137);0.8547 (0.0714);0.9484 (0.0236);0.9703 (0.015)
131_C2;200;0.6558 (0.0981);0.8489 (0.0783);0.9464 (0.0231);0.9705 (0.0141)
