"";"genotype";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131_A";1;0,01;0,05;"5e-04";"0.0274 (0.0158)";"0.0268 (0.0113)";"0.0276 (0.0174)";"0.025 (0.0152)"
"2";"131_A";25;0,01;0,05;"5e-04";"0.2067 (0.0756)";"0.2828 (0.091)";"0.3241 (0.105)";"0.4537 (0.128)"
"3";"131_A";50;0,01;0,05;"5e-04";"0.2629 (0.0622)";"0.4324 (0.0883)";"0.5737 (0.1285)";"0.8036 (0.0714)"
"4";"131_A";75;0,01;0,05;"5e-04";"0.2898 (0.0846)";"0.5145 (0.0916)";"0.7393 (0.1096)";"0.9031 (0.0393)"
"5";"131_A";100;0,01;0,05;"5e-04";"0.3064 (0.0882)";"0.5937 (0.1099)";"0.8202 (0.0755)";"0.9263 (0.0302)"
"6";"131_A";125;0,01;0,05;"5e-04";"0.3211 (0.0989)";"0.6369 (0.1091)";"0.8446 (0.08)";"0.9414 (0.0221)"
"7";"131_A";150;0,01;0,05;"5e-04";"0.3129 (0.1069)";"0.6784 (0.0951)";"0.8614 (0.0738)";"0.9444 (0.0237)"
"8";"131_A";175;0,01;0,05;"5e-04";"0.3253 (0.0826)";"0.6975 (0.0944)";"0.8727 (0.0786)";"0.9478 (0.0224)"
"9";"131_A";200;0,01;0,05;"5e-04";"0.3367 (0.091)";"0.7091 (0.0762)";"0.8832 (0.0604)";"0.9461 (0.0248)"
"10";"131_B";1;0,01;0,05;"5e-04";"5e-04 (0.0018)";"0.0011 (0.003)";"0.0013 (0.0027)";"0.001 (0.0024)"
"11";"131_B";25;0,01;0,05;"5e-04";"0.0064 (0.0148)";"0.007 (0.0099)";"0.0254 (0.0444)";"0.0096 (0.0171)"
"12";"131_B";50;0,01;0,05;"5e-04";"0.0078 (0.0117)";"0.0161 (0.0339)";"0.0495 (0.0694)";"0.0745 (0.0997)"
"13";"131_B";75;0,01;0,05;"5e-04";"0.0065 (0.0104)";"0.0154 (0.0319)";"0.1174 (0.1361)";"0.1079 (0.1336)"
"14";"131_B";100;0,01;0,05;"5e-04";"0.0065 (0.0119)";"0.0148 (0.0222)";"0.1416 (0.1693)";"0.1293 (0.1398)"
"15";"131_B";125;0,01;0,05;"5e-04";"0.0108 (0.0174)";"0.0221 (0.0276)";"0.1662 (0.1846)";"0.1555 (0.1698)"
"16";"131_B";150;0,01;0,05;"5e-04";"0.0128 (0.0237)";"0.0281 (0.0331)";"0.183 (0.1939)";"0.1631 (0.15)"
