genotype,generation,DDD_0.006,DDD_0.03,DDD_0.06,DDD_0.09
131,1,0.0259 (0.0256),0.0293 (0.0261),0.0288 (0.027),0.028 (0.026)
131,25,0.1621 (0.1304),0.215 (0.1514),0.2849 (0.201),0.3621 (0.2365)
131,50,0.2292 (0.1879),0.327 (0.2369),0.4799 (0.3031),0.6062 (0.3242)
131,75,0.2696 (0.2231),0.4198 (0.2827),0.5772 (0.3354),0.6873 (0.3323)
131,100,0.288 (0.2381),0.4666 (0.3041),0.6123 (0.3471),0.7043 (0.3313)
131,125,0.2976 (0.2471),0.4917 (0.3137),0.6315 (0.3447),0.7104 (0.3331)
131,150,0.3079 (0.2595),0.5101 (0.321),0.6347 (0.3486),0.7091 (0.3385)
131,175,0.3238 (0.2719),0.5108 (0.3242),0.6394 (0.3459),0.7125 (0.3365)
131,200,0.3212 (0.2752),0.52 (0.3297),0.6357 (0.3464),0.7137 (0.3375)
69,1,9e-04 (0.0011),8e-04 (0.0012),8e-04 (0.0011),8e-04 (0.0011)
69,25,0.0077 (0.007),0.0076 (0.007),0.0136 (0.0145),0.024 (0.0189)
69,50,0.0087 (0.0075),0.0123 (0.0143),0.0348 (0.0399),0.0887 (0.0569)
69,75,0.0109 (0.0107),0.021 (0.0268),0.0653 (0.0634),0.156 (0.0945)
69,100,0.0107 (0.0079),0.0281 (0.0326),0.0845 (0.0756),0.1834 (0.115)
69,125,0.0124 (0.0088),0.0364 (0.042),0.0977 (0.0821),0.1979 (0.1252)
69,150,0.0109 (0.0103),0.0464 (0.0619),0.1076 (0.0911),0.2002 (0.1239)
69,175,0.0113 (0.0117),0.0444 (0.0609),0.1155 (0.1049),0.2028 (0.1267)
69,200,0.0118 (0.0128),0.0521 (0.0652),0.1137 (0.1065),0.2069 (0.1271)
73,1,0.0013 (5e-04),9e-04 (3e-04),9e-04 (4e-04),0.001 (4e-04)
73,25,0.0031 (0.002),0.0042 (0.0036),0.0068 (0.005),0.0152 (0.0093)
73,50,0.0049 (0.0031),0.0097 (0.008),0.0263 (0.0184),0.0794 (0.0463)
73,75,0.0061 (0.0033),0.0179 (0.0136),0.0568 (0.044),0.1693 (0.0854)
73,100,0.0067 (0.0039),0.0233 (0.015),0.0879 (0.0572),0.2286 (0.1095)
73,125,0.0069 (0.0027),0.0301 (0.0208),0.1032 (0.0683),0.2561 (0.1206)
73,150,0.0076 (0.0038),0.0342 (0.0217),0.1119 (0.0759),0.2738 (0.1227)
73,175,0.0079 (0.0051),0.0406 (0.0261),0.1186 (0.0805),0.2824 (0.1234)
73,200,0.0099 (0.0072),0.0401 (0.0219),0.1249 (0.0866),0.291 (0.1293)
95,1,0.0011 (5e-04),0.001 (6e-04),0.001 (6e-04),0.001 (6e-04)
95,25,0.0029 (0.0026),0.004 (0.0047),0.008 (0.0087),0.0121 (0.0099)
95,50,0.0046 (0.0051),0.0101 (0.0103),0.0299 (0.0255),0.0701 (0.0508)
95,75,0.0071 (0.0077),0.018 (0.0166),0.0579 (0.0435),0.1489 (0.0912)
95,100,0.0071 (0.0071),0.0278 (0.0261),0.0841 (0.063),0.2078 (0.1255)
95,125,0.0082 (0.0091),0.0348 (0.0315),0.1081 (0.0812),0.236 (0.1466)
95,150,0.0104 (0.0104),0.0384 (0.033),0.1178 (0.0843),0.2387 (0.1473)
95,175,0.0113 (0.0098),0.0418 (0.0371),0.1318 (0.0987),0.2334 (0.1433)
95,200,0.0099 (0.007),0.0402 (0.0316),0.1397 (0.0953),0.237 (0.1443)
